Todas as mensagens de registro de eventos.
Data:	2000-01-02 07:43:48
Nome do sistema:	System1
Nome do controlador:	192.168.133.1
ID do controlador
	24-53319

RobotWare:	5.14.1032
Chave:	.csNpds3aus-s6MyUXs-s9
Opções:	
	RW Control module key
	RobotWare OS and English
	644-6 Portuguese
		645-3 Spanish
		709-x DeviceNet
			709-1 Master/Slave Single
			608-1 World Zones
			609-1 Fixed Position Events
			611-1 Path Recovery
			613-1 Collision Detection
			617-1 FlexPendant Interface
			620-1 File and Serial Channel Handling
			621-1 Logical Cross Connections
			622-1 Analog Signal Interrupt

DriveModule1
Chave:	LlVbY.0SGVirW
Opções:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 4400 Type B
			4400/45 Type B
			Add axes IRB/drive module 4400/940
				R2C2 Standard
					No drive in pos Y2



Comum mensagens de registro
SeqNo     	Tipo	Categoria           	Código  	Título                                  	Data                	Descrição	Argumentos
82185     	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-02 06:09:28 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveJ/438	{args: "T_ROB1", "/Injetora/rResfriamento/MoveJ/438"}
82186     	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-02 06:09:31 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveL/441	{args: "T_ROB1", "/Injetora/rResfriamento/MoveL/441"}
82187     	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-02 06:09:35 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rHomeCargaSaida/MoveJ/596	{args: "T_ROB1", "/Injetora/rHomeCargaSaida/MoveJ/596"}
82188     	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-02 06:09:46 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rPecaBoa/MoveJ/616	{args: "T_ROB1", "/Injetora/rPecaBoa/MoveJ/616"}
82189     	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-02 06:10:38 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveL/435	{args: "T_ROB1", "/Injetora/rResfriamento/MoveL/435"}
82190     	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-02 06:10:55 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveJ/438	{args: "T_ROB1", "/Injetora/rResfriamento/MoveJ/438"}
82191     	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-02 06:10:58 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveL/441	{args: "T_ROB1", "/Injetora/rResfriamento/MoveL/441"}
82192     	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-02 06:11:01 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rHomeCargaSaida/MoveJ/596	{args: "T_ROB1", "/Injetora/rHomeCargaSaida/MoveJ/596"}
82193     	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-02 06:11:12 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rPecaBoa/MoveJ/616	{args: "T_ROB1", "/Injetora/rPecaBoa/MoveJ/616"}
82194     	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-02 06:12:04 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveL/435	{args: "T_ROB1", "/Injetora/rResfriamento/MoveL/435"}
