Todas as mensagens de registro de eventos.
Data:	2000-01-01 03:27:01
Nome do sistema:	System1
Nome do controlador:	192.168.133.1
ID do controlador
	24-53319

RobotWare:	5.14.1032
Chave:	.csNpds3aus-s6MyUXs-s9
Opções:	
	RW Control module key
	RobotWare OS and English
	644-6 Portuguese
		645-3 Spanish
		709-x DeviceNet
			709-1 Master/Slave Single
			608-1 World Zones
			609-1 Fixed Position Events
			611-1 Path Recovery
			613-1 Collision Detection
			617-1 FlexPendant Interface
			620-1 File and Serial Channel Handling
			621-1 Logical Cross Connections
			622-1 Analog Signal Interrupt

DriveModule1
Chave:	LlVbY.0SGVirW
Opções:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 4400 Type B
			4400/45 Type B
			Add axes IRB/drive module 4400/940
				R2C2 Standard
					No drive in pos Y2



Comum mensagens de registro
SeqNo     	Tipo	Categoria           	Código  	Título                                  	Data                	Descrição	Argumentos
576661    	I   	Operacional         	10015   	Modo manual selecionado                 	2000-01-01 00:00:36 	O sistema está no modo Manual.	{args: }
576662    	I   	Operacional         	10155   	O programa foi reiniciado               	2000-01-01 00:00:36 	A execução da tarefa T_ROB1 foi reiniciada a partir do ponto onde parou anteriormente. Não foi possível determinar o originador.	{args: "1", "T_ROB1"}
576663    	I   	Operacional         	10129   	O programa foi interrompido             	2000-01-01 00:00:37 	A tarefa T_ROB1 foi interrompida. O motivo é que a rotina de evento para RESET ou POWER_ON está pronta.	{args: "1", "T_ROB1"}
576664    	W   	Hardware            	37053   	Nível da voltagem da bateria CMOS baixo 	2000-01-01 00:00:57 	A bateria CMOS na placa do computador está vazia.	{args: "0"}
576665    	W   	Hardware            	37054   	Ventilador do computador com defeito    	2000-01-01 00:01:19 	Os ventiladores do Computador giram muito lentamente.	{args: "0"}
576666    	E   	Sistema             	20205   	A Parada Automática está aberta         	2000-01-01 00:04:10 	O circuito Parada com Segurança do Modo Automático foi interrompido.	{args: }
576667    	I   	Operacional         	10016   	Modo Automático Solicitado              	2000-01-01 00:04:10 	O sistema foi solicitado para passar ao modo Automático.	{args: }
576668    	I   	Operacional         	10017   	Confirmação do modo Automático          	2000-01-01 00:04:13 	O sistema está no modo Automático.	{args: }
576669    	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 00:04:14 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
576670    	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 00:04:15 	O sistema encontra-se no estado de Motores ligados.	{args: }
576671    	I   	Operacional         	10052   	Recupere a partida                      	2000-01-01 00:04:19 	Iniciou-se um movimento de recuperação.	{args: "0"}
576672    	I   	Operacional         	10053   	A recuperação está pronta               	2000-01-01 00:04:19 	O movimento de recuperação está pronto.	{args: "0"}
576673    	I   	Operacional         	10156   	O programa foi reiniciado               	2000-01-01 00:04:19 	A execução da tarefa T_ROB1 foi reiniciada a partir do ponto onde parou anteriormente. O originador é um cliente externo.	{args: "1", "T_ROB1"}
576674    	I   	Operacional         	10015   	Modo manual selecionado                 	2000-01-01 00:04:30 	O sistema está no modo Manual.	{args: }
576675    	I   	Operacional         	10125   	O programa foi interrompido             	2000-01-01 00:04:30 	A tarefa T_ROB1 foi interrompida. O motivo é que ocorreu uma parada externa ou interna.	{args: "1", "T_ROB1"}
576676    	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 00:04:30 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
576677    	I   	Operacional         	10002   	O ponteiro do programa foi redefinido   	2000-01-01 00:04:33 	O ponteiro do programa da tarefa T_ROB1 foi redefinido.	{args: "1", "0", "T_ROB1"}
576678    	I   	Operacional         	10016   	Modo Automático Solicitado              	2000-01-01 00:04:35 	O sistema foi solicitado para passar ao modo Automático.	{args: }
