Todas as mensagens de registro de eventos.
Data:	2000-01-01 04:58:58
Nome do sistema:	System1
Nome do controlador:	192.168.133.1
ID do controlador
	24-53319

RobotWare:	5.14.1032
Chave:	.csNpds3aus-s6MyUXs-s9
Opções:	
	RW Control module key
	RobotWare OS and English
	644-6 Portuguese
		645-3 Spanish
		709-x DeviceNet
			709-1 Master/Slave Single
			608-1 World Zones
			609-1 Fixed Position Events
			611-1 Path Recovery
			613-1 Collision Detection
			617-1 FlexPendant Interface
			620-1 File and Serial Channel Handling
			621-1 Logical Cross Connections
			622-1 Analog Signal Interrupt

DriveModule1
Chave:	LlVbY.0SGVirW
Opções:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 4400 Type B
			4400/45 Type B
			Add axes IRB/drive module 4400/940
				R2C2 Standard
					No drive in pos Y2



Comum mensagens de registro
SeqNo     	Tipo	Categoria           	Código  	Título                                  	Data                	Descrição	Argumentos
1421238   	I   	Operacional         	10053   	A recuperação está pronta               	2000-01-01 01:46:36 	O movimento de recuperação está pronto.	{args: "0"}
1421239   	I   	Operacional         	10156   	O programa foi reiniciado               	2000-01-01 01:46:37 	A execução da tarefa T_ROB1 foi reiniciada a partir do ponto onde parou anteriormente. O originador é um cliente externo.	{args: "1", "T_ROB1"}
1421240   	I   	Operacional         	10123   	O programa foi interrompido             	2000-01-01 01:46:37 	A tarefa T_ROB1 foi interrompida. O motivo é que a tarefa fica pronta com esta etapa.	{args: "1", "T_ROB1"}
1421241   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 01:46:39 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1421242   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 01:46:49 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1421243   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 01:46:50 	O sistema encontra-se no estado de Motores ligados.	{args: }
1421244   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 01:48:28 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1421245   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 01:48:29 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1421246   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 01:48:31 	O sistema encontra-se no estado de Motores ligados.	{args: }
1421247   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 01:48:34 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
