Todas as mensagens de registro de eventos.
Data:	2014-05-06 21:37:15
Nome do sistema:	System1
Nome do controlador:	192.168.133.1
ID do controlador
	24-53319

RobotWare:	5.14.1032
Chave:	.csNpds3aus-s6MyUXs-s9
Opções:	
	RW Control module key
	RobotWare OS and English
	644-6 Portuguese
		645-3 Spanish
		709-x DeviceNet
			709-1 Master/Slave Single
			608-1 World Zones
			609-1 Fixed Position Events
			611-1 Path Recovery
			613-1 Collision Detection
			617-1 FlexPendant Interface
			620-1 File and Serial Channel Handling
			621-1 Logical Cross Connections
			622-1 Analog Signal Interrupt

DriveModule1
Chave:	LlVbY.0SGVirW
Opções:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 4400 Type B
			4400/45 Type B
			Add axes IRB/drive module 4400/940
				R2C2 Standard
					No drive in pos Y2



Comum mensagens de registro
SeqNo     	Tipo	Categoria           	Código  	Título                                  	Data                	Descrição	Argumentos
748135    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:26:19 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748136    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:26:19 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748137    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:26:52 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748138    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:26:52 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748139    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:26:55 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748140    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:26:55 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748141    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:26:55 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748142    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:26:55 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748143    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:26:58 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748144    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:26:58 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748145    	I   	Operacional         	10015   	Modo manual selecionado                 	2014-05-06 21:26:59 	O sistema está no modo Manual.	{args: }
748146    	I   	Operacional         	10016   	Modo Automático Solicitado              	2014-05-06 21:27:00 	O sistema foi solicitado para passar ao modo Automático.	{args: }
748147    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:27:01 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748148    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:27:01 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748149    	I   	Operacional         	10017   	Confirmação do modo Automático          	2014-05-06 21:27:04 	O sistema está no modo Automático.	{args: }
748150    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:27:44 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748151    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:27:44 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748152    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:27:45 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748153    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:27:45 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748154    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:27:46 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748155    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:27:46 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748156    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:27:46 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748157    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:27:46 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748158    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:27:46 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748159    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:27:46 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748160    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:27:46 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748161    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:27:46 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748162    	I   	Operacional         	10015   	Modo manual selecionado                 	2014-05-06 21:27:47 	O sistema está no modo Manual.	{args: }
748163    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:28:07 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748164    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:28:07 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748165    	I   	Operacional         	10016   	Modo Automático Solicitado              	2014-05-06 21:28:09 	O sistema foi solicitado para passar ao modo Automático.	{args: }
748166    	I   	Operacional         	10017   	Confirmação do modo Automático          	2014-05-06 21:28:12 	O sistema está no modo Automático.	{args: }
748167    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:28:14 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748168    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:28:14 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748169    	E   	Sistema             	20212   	Falha de dois canais, cadeia RUN        	2014-05-06 21:28:15 	Somente uma das duas cadeias RUN foi fechada.	{args: }
748170    	E   	Sistema             	20223   	Conflito da Parada de Emergência        	2014-05-06 21:28:15 	Somente uma das duas cadeias de Parada de Emergência estava aberta.	{args: }
748171    	I   	Operacional         	10015   	Modo manual selecionado                 	2014-05-06 21:28:28 	O sistema está no modo Manual.	{args: }
